ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20180008407,Raining,3.0
T20180008408,Raining,3.0
T20180008410,Raining,3.0
T20180008413,Clear,1.0
T20180008421,Clear,1.0
T20180008424,Raining,3.0
T20180008425,Raining,3.0
T20180008427,Clear,1.0
T20180008429,Clear,1.0
T20180008431,Raining,3.0
T20180008433,Clear,1.0
T20180008436,Clear,1.0
T20180008439,Clear,1.0
T20180008441,Raining,3.0
T20180008443,Raining,3.0
T20180008444,Clear,1.0
T20180008445,"Raining, Strong winds",2.33
T20180008446,Raining,3.0
T20180008449,Raining,3.0
T20180008450,Raining,3.0
T20180008451,Clear,1.0
T20180008455,Clear,1.0
T20180008457,Clear,1.0
T20180008458,Clear,1.0
T20180008459,Clear,1.0
T20180008460,Clear,1.0
T20180008461,Clear,1.0
T20180008462,Clear,1.0
T20180008475,Clear,1.0
T20180008476,Clear,1.0
T20180008477,Clear,1.0
T20180008478,Clear,1.0
T20180008479,Clear,1.0
T20180008482,Clear,1.0
T20180008484,Clear,1.0
T20180008487,Clear,1.0
T20180008488,Clear,1.0
T20180008489,Clear,1.0
T20180008490,Clear,1.0
T20180008494,Clear,1.0
T20180008496,Raining,3.0
T20180008497,Clear,1.0
T20180008498,Clear,1.0
T20180008501,Clear,1.0
T20180008503,Fog,6.0
T20180008511,Clear,1.0
T20180008514,Clear,1.0
T20180008515,Clear,1.0
T20180008517,Clear,1.0
T20180008520,Clear,1.0
T20180008521,Clear,1.0
T20180008524,Clear,1.0
T20180008526,Clear,1.0
T20180008529,Raining,3.0
T20180008532,Clear,1.0
T20180008533,Clear,1.0
T20180008535,Clear,1.0
T20180008536,Clear,1.0
T20180008537,Clear,1.0
T20180008538,Clear,1.0
T20180008541,Clear,1.0
T20180008542,Raining,3.0
T20180008543,Clear,1.0
T20180008544,Fog,6.0
T20180008546,Clear,1.0
T20180008548,Clear,1.0
T20180008549,Clear,1.0
T20180008551,Clear,1.0
T20180008553,Clear,1.0
T20180008554,Clear,1.0
T20180008555,Clear,1.0
T20180008556,Clear,1.0
T20180008557,Clear,1.0
T20180008558,Clear,1.0
T20180008559,Clear,1.0
T20180008560,Clear,1.0
T20180008561,Fog,6.0
T20180008565,Clear,1.0
T20180008567,Clear,1.0
T20180008568,Clear,1.0
T20180008569,Clear,1.0
T20180008571,Clear,1.0
T20180008573,Clear,1.0
T20180008574,Clear,1.0
T20180008576,Clear,1.0
T20180008577,Clear,1.0
T20180008578,Clear,1.0
T20180008579,Clear,1.0
T20180008581,Clear,1.0
T20180008584,Clear,1.0
T20180008586,Clear,1.0
T20180008589,Clear,1.0
T20180008597,Clear,1.0
T20180008603,Clear,1.0
T20180008606,Clear,1.0
T20180008612,Clear,1.0
T20180008614,Clear,1.0
T20180008617,Clear,1.0
T20180008619,Clear,1.0
T20180008620,Clear,1.0
T20180008623,Clear,1.0
T20180008626,Clear,1.0
T20180008629,Clear,1.0
T20180008632,Clear,1.0
T20180008633,Clear,1.0
T20180008634,Clear,1.0
T20180008635,Clear,1.0
T20180008637,Clear,1.0
T20180008638,Clear,1.0
T20180008639,Clear,1.0
T20180008641,Clear,1.0
T20180008644,Clear,1.0
T20180008647,Clear,1.0
T20180008649,Clear,1.0
T20180008650,Clear,1.0
T20180008652,Clear,1.0
T20180008653,Clear,1.0
T20180008654,Clear,1.0
T20180008658,Clear,1.0
T20180008659,Clear,1.0
T20180008660,Clear,1.0
T20180008662,Clear,1.0
T20180008666,Clear,1.0
T20180008667,Clear,1.0
T20180008670,Fog,6.0
T20180008672,Clear,1.0
T20180008677,Clear,1.0
T20180008679,Clear,1.0
T20180008680,Clear,1.0
T20180008681,Clear,1.0
T20180008683,Clear,1.0
T20180008684,Clear,1.0
T20180008685,Clear,1.0
T20180008687,Clear,1.0
T20180008690,Clear,1.0
T20180008691,Clear,1.0
T20180008695,Clear,1.0
T20180008697,Clear,1.0
T20180008698,Clear,1.0
T20180008702,Clear,1.0
T20180008703,Clear,1.0
T20180008704,Clear,1.0
T20180008705,Clear,1.0
T20180008706,Clear,1.0
T20180008708,Clear,1.0
T20180008709,Clear,1.0
T20180008711,Clear,1.0
T20180008714,Clear,1.0
T20180008716,Clear,1.0
T20180008718,Clear,1.0
T20180008719,Clear,1.0
T20180008722,Clear,1.0
T20180008723,Clear,1.0
T20180008725,Clear,1.0
T20180008730,Clear,1.0
T20180008731,Clear,1.0
T20180008732,Clear,1.0
T20180008734,Clear,1.0
T20180008735,Clear,1.0
T20180008737,Clear,1.0
T20180008738,Clear,1.0
T20180008741,Clear,1.0
T20180008742,Clear,1.0
T20180008743,Clear,1.0
T20180008748,Raining,3.0
T20180008751,Clear,1.0
T20180008752,Clear,1.0
T20180008755,Clear,1.0
T20180008756,Clear,1.0
T20180008759,Clear,1.0
T20180008760,Clear,1.0
T20180008762,Clear,1.0
T20180008763,Clear,1.0
T20180008764,Clear,1.0
T20180008765,Clear,1.0
T20180008769,Clear,1.0
T20180008772,Clear,1.0
T20180008773,Clear,1.0
T20180008774,Clear,1.0
T20180008777,Clear,1.0
T20180008778,Clear,1.0
T20180008781,Clear,1.0
T20180008782,"Fog, Smoke",5.33
T20180008783,Clear,1.0
T20180008784,Clear,1.0
T20180008785,Clear,1.0
T20180008786,Clear,1.0
T20180008787,Clear,1.0
T20180008789,Clear,1.0
T20180008790,Clear,1.0
T20180008792,Clear,1.0
T20180008796,Clear,1.0
T20180008797,Clear,1.0
T20180008801,Clear,1.0
T20180008802,Clear,1.0
T20180008804,Clear,1.0
T20180008806,Clear,1.0
T20180008808,Raining,3.0
T20180008809,Clear,1.0
T20180008810,Clear,1.0
T20180008813,Clear,1.0
T20180008814,Clear,1.0
T20180008815,Clear,1.0
T20180008817,Raining,3.0
T20180008824,Clear,1.0
T20180008825,Clear,1.0
T20180008826,Clear,1.0
T20180008830,Clear,1.0
T20180008833,Clear,1.0
T20180008834,Clear,1.0
T20180008837,Clear,1.0
T20180008840,Raining,3.0
T20180008845,Clear,1.0
T20180008846,Clear,1.0
