ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20210008975,Dry,1.0
T20210008978,Dry,1.0
T20210008979,Dry,1.0
T20210008980,Dry,1.0
T20210008982,Dry,1.0
T20210008984,Dry,1.0
T20210008987,Dry,1.0
T20210008989,Dry,1.0
T20210008991,Dry,1.0
T20210008992,Dry,1.0
T20210008993,Dry,1.0
T20210008994,Wet,2.0
T20210008995,Dry,1.0
T20210008998,Dry,1.0
T20210009003,Dry,1.0
T20210009006,Dry,1.0
T20210009008,Dry,1.0
T20210009009,Dry,1.0
T20210009010,Dry,1.0
T20210009011,Icy,5.0
T20210009013,Dry,1.0
T20210009014,Dry,1.0
T20210009019,Dry,1.0
T20210009022,Dry,1.0
T20210009023,Wet,2.0
T20210009024,Wet,2.0
T20210009027,Wet,2.0
T20210009030,Dry,1.0
T20210009031,Dry,1.0
T20210009033,Dry,1.0
T20210009034,Dry,1.0
T20210009037,Dry,1.0
T20210009039,Wet,2.0
T20210009041,Dry,1.0
T20210009042,Dry,1.0
T20210009046,Dry,1.0
T20210009047,Dry,1.0
T20210009048,Dry,1.0
T20210009049,Dry,1.0
T20210009050,Dry,1.0
T20210009057,"Wet, Muddy",2.67
T20210009059,Dry,1.0
T20210009061,Dry,1.0
T20210009063,Dry,1.0
T20210009066,Dry,1.0
T20210009067,Dry,1.0
T20210009069,Dry,1.0
T20210009073,Wet,2.0
T20210009078,Dry,1.0
T20210009081,Dry,1.0
T20210009082,Dry,1.0
T20210009083,Dry,1.0
T20210009084,Dry,1.0
T20210009086,Dry,1.0
T20210009090,Dry,1.0
T20210009091,Dry,1.0
T20210009093,Dry,1.0
T20210009095,Dry,1.0
T20210009096,Dry,1.0
T20210009097,Dry,1.0
T20210009098,Dry,1.0
T20210009099,Dry,1.0
T20210009101,Dry,1.0
T20210009102,Dry,1.0
T20210009104,Dry,1.0
T20210009106,Dry,1.0
T20210009107,Wet,2.0
T20210009110,Dry,1.0
T20210009111,Dry,1.0
